,,,,,Prämien – Grundversicherung,,,,,,,
,,,,,Primes – Assurance de base,,,,,,,
Mit Unfall / avec risque accidents,,,,,,2024,VD,Ohne Unfall / sans risque accidents,,,,
Franchise / Franchise,,,,,,Erwachsene / Adultes,,,,Franchise / Franchise,,
563.9,552.4,523.4,493.9,464.9,435.9,"Avenir, PrimaCare",524.5,513.8,486.8,459.4,432.4,405.4
542.5,530.9,501.7,472.5,443.4,414.2,"Concordia, MyDoc",512.7,501.8,474.2,446.6,419.1,391.5
531.7,520.1,490.9,461.7,432.6,403.4,"CSS, Gesundheitspraxisversicherung T1",494.5,483.7,456.6,429.4,402.3,375.2
538.1,526.5,497.3,468.1,439,409.8,"CSS, Gesundheitspraxisversicherung T2",500.4,489.6,462.4,435.3,408.2,381.1
544.4,532.8,503.6,474.4,445.3,416.1,"CSS, Gesundheitspraxisversicherung T3",506.3,495.5,468.3,441.2,414.1,387
550.7,539.1,509.9,480.7,451.6,422.4,"CSS, Hausarztversicherung Profit",512.2,501.4,474.2,447.1,420,392.8
529.8,518.2,494,464.8,435.7,420.8,"CSS, Multimed",492.7,481.9,459.4,432.3,405.2,391.4
577.4,565.9,536.9,507.4,478.4,449.4,"Easy Sana, PrimaCare",537,526.3,499.4,471.9,445,418
589.1,577.5,548.3,519.1,490,460.8,"EGK, EGK-Care",553.8,542.9,515.5,488,460.6,433.2
734.2,722.6,693.4,664.2,635.1,605.9,"Galenos, Med Direct",682.9,672,644.9,617.8,590.7,563.5
530,518.4,489.2,460,430.9,401.7,"Helsana, BeneFit PLUS Flexmed",492.9,482.2,455,427.8,400.8,373.6
530,518.4,489.2,460,430.9,401.7,"Helsana, BeneFit PLUS Hausarzt R1",492.9,482.2,455,427.8,400.8,373.6
542.6,531,501.8,472.6,443.5,414.3,"Helsana, BeneFit PLUS Hausarzt R2",504.7,493.9,466.7,439.6,412.5,385.3
555.2,543.6,514.4,485.2,456.1,426.9,"Helsana, BeneFit PLUS Hausarzt R3",516.4,505.6,478.4,451.3,424.2,397.1
567.9,556.3,527.1,497.9,468.8,439.6,"Helsana, BeneFit PLUS Hausarzt R4",528.2,517.4,490.3,463.1,436,408.9
568.2,556.6,527.4,498.2,,439.9,"KPT, KPTwin.doc",528.4,517.6,490.5,463.3,,409.1
587.4,575.9,546.9,517.4,488.4,459.4,"Mutuel, PrimaCare",546.3,535.6,508.7,481.2,454.3,427.3
579.1,567.5,538.3,509.1,480,450.8,"ÖKK, Hausarzt",538.6,527.8,500.7,473.5,446.4,419.3
